protocol,chain,name,address
UniswapV3,Ethereum,UniversalRouter,0xEf1c6E67703c7BD7107eed8303Fbe6EC2554BF6B
UniswapV3,Ethereum,UniswapV3Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984
UniswapV3,Ethereum,Multicall2,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696
UniswapV3,Ethereum,ProxyAdmin,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2
UniswapV3,Ethereum,TickLens,0xbfd8137f7d1516D3ea5cA83523914859ec47F573
UniswapV3,Ethereum,Quoter,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6
UniswapV3,Ethereum,SwapRouter,0xE592427A0AEce92De3Edee1F18E0157C05861564
UniswapV3,Ethereum,NFTDescriptor,0x42B24A95702b9986e82d421cC3568932790A48Ec
UniswapV3,Ethereum,NonfungibleTokenPositionDescriptor,0x91ae842A5Ffd8d12023116943e72A606179294f3
UniswapV3,Ethereum,TransparentUpgradeableProxy,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785
UniswapV3,Ethereum,NonfungiblePositionManager,0xC36442b4a4522E871399CD717aBDD847Ab11FE88
UniswapV3,Ethereum,V3Migrator,0xA5644E29708357803b5A882D272c41cC0dF92B34
UniswapV3,Ethereum,QuoterV2,0x61fFE014bA17989E743c5F6cB21bF9697530B21e
UniswapV3,Ethereum,SwapRouter02,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45
UniswapV3,Ethereum,Permit2,0x000000000022d473030f116ddee9f6b43ac78ba3
UniswapV2,Ethereum,UniswapV2Factory,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f
UniswapV2,Ethereum,UniswapV2Pair,
UniswapV2,Ethereum,UniswapV2ERC20,
UniswapV2,Ethereum,UniswapV2Router02,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
AaveV3,Ethereum,ACLManager,0xc2aaCf6553D20d1e9d78E365AAba8032af9c85b0
AaveV3,Ethereum,Pool,0x87870Bca3F3fD6335C3F4ce8392D69350B41A4E2
AaveV3,Ethereum,PoolConfigurator,0x64b761D848206f447Fe2dd461b0c635Ec39EbB27
AaveV3,Ethereum,Incentives,0x8164Cc65827dcFe994AB23944CBC90e0aa80bFcb
AaveV3,Ethereum,PoolAddressesProvider,0x2f39d218133AFaB8F2B819B1066C7E434Ad94E9e
AaveV3,Ethereum,PoolAddressesProviderRegistry,0xbaA999AC55EAce41CCAE355c77809e68Bb345170
AaveV3,Ethereum,PoolDataProvider,0x7B4EB56E7CD4b454BA8ff71E4518426369a138a3
AaveV3,Ethereum,UilncentiveDataProviderV3,0x162A7AC02f547ad796CA549f757e2b8d1D9b10a6
AaveV3,Ethereum,UiPoolDataProviderV3,0x91c0eA31b49B69Ea18607702c5d9aC360bf3dE7d
AaveV3,Ethereum,WrappedTokenGateway,0xD322A49006FC828F9B5B37Ab215F99B4E5caB19C
AaveV3,Ethereum,WalletBalanceProvider,0xC7be5307ba715ce89b152f3Df0658295b3dbA8E2
AaveV3,Ethereum,AaveOracle,0x54586bE62E3c3580375aE3723C145253060Ca0C2
AaveV3,Ethereum,Treasury,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18C
AaveV3,Ethereum,TreasuryController,0x3d569673dAa0575c936c7c67c4E6AedA69CC630C
AaveV3,Ethereum,ParaSwapLiquiditySwapAdapter,0x872fBcb1B582e8Cd0D0DD4327fBFa0B4C2730995
AaveV3,Ethereum,ParaSwapRepayAdapter,0x1809f186D680f239420B56948C58F8DbbCdf1E18
AaveV3,Ethereum,Migration Contract,0xb748952c7bc638f31775245964707bcc5ddfabfc
Lido,Ethereum,Lido and stETH token,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84
Lido,Ethereum,wstETH token,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
Lido,Ethereum,Node Operators registry,0x55032650b14df07b85bF18A3a3eC8E0Af2e028d5
Lido,Ethereum,Oracle,0x442af784A788A5bd6F42A01Ebe9F287a871243fb
Lido,Ethereum,Deposit Security module,0x710B3303fB508a84F10793c1106e32bE873C24cd
Lido,Ethereum,Withdrawals Manager Stub,0xb9d7934878b5fb9610b3fe8a5e441e8fad7e293f
Lido,Ethereum,Execution Layer Rewards Vault,0x388C818CA8B9251b393131C08a736A67ccB19297
Lido,Ethereum,CompositePostRebaseReportReceiver,0x55a7E1cbD678d9EbD50c7d69Dc75203B0dBdD431
Lido,Ethereum,SelfOwnedStETHBurner,0xB280E33812c0B09353180e92e27b8AD399B07f26
Lido,Ethereum,MEV Boost Relay Allowed List,0xF95f069F9AD107938F6ba802a3da87892298610E
Stargate,Ethereum,Router,0x8731d54E9D02c286767d56ac03e8037C07e01e98
Stargate,Ethereum,RouterEth,0x150f94B44927F078737562f0fcF3C95c01Cc2376
Stargate,Ethereum,Bridge,0x296F55F8Fb28E498B858d0BcDA06D955B2Cb3f97
Stargate,Ethereum,Factory,0x06D538690AF257Da524f25D0CD52fD85b1c2173E
Stargate,Ethereum,StargateToken,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6
Stargate,Ethereum,StargateFeeLibraryV05,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6
Stargate,Ethereum,Pool (ETH),0x101816545F6bd2b1076434B54383a1E633390A2E
Stargate,Ethereum,Pool (USDC),0xdf0770dF86a8034b3EFEf0A1Bb3c889B8332FF56
Stargate,Ethereum,Pool (USDT),0x38EA452219524Bb87e18dE1C24D3bB59510BD783
Stargate,Ethereum,Pool (USDD),0x692953e758c3669290cb1677180c64183cEe374e
Stargate,Ethereum,Pool (DAI),0x0Faf1d2d3CED330824de3B8200fc8dc6E397850d
Stargate,Ethereum,Pool (FRAX),0xfA0F307783AC21C39E939ACFF795e27b650F6e68
Stargate,Ethereum,Pool (sUSD),0x590d4f8A68583639f215f675F3a259Ed84790580
Stargate,Ethereum,Pool (LUSD),0xE8F55368C82D38bbbbDb5533e7F56AfC2E978CC2
Stargate,Ethereum,Pool (MAI),0x9cef9a0b1bE0D289ac9f4a98ff317c33EAA84eb8
Stargate,Ethereum,Pool (METIS),0xd8772edBF88bBa2667ed011542343b0eDDaCDa47
Stargate,Ethereum,Pool (metis.USDT),0x430Ebff5E3E80A6C58E7e6ADA1d90F5c28AA116d
Stargate,Ethereum,LPStaking,0xB0D502E938ed5f4df2E681fE6E419ff29631d62b
Stargate,Ethereum,LPStakingTimeMetis,0x1c3000b8f475A958b87c73a5cc5780Ab763122FC
Scroll,Ethereum,TransparentUpgradeableProxy,0xe5E30E7c24e4dFcb281A682562E53154C15D3332
