name,symbol,contract_addresses
Tether,USDT,"[{'platform': 'polygon-pos', 'contract_address': '0xc2132d05d31c914a87c6611c10748aeb04b58e8f'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x94b008aa00579c1307b0ef2c499ad98a8ce58e58'}, {'platform': 'ethereum', 'contract_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}, {'platform': 'binance-smart-chain', 'contract_address': '0x55d398326f99059ff775485246999027b3197955'}, {'platform': 'arbitrum-one', 'contract_address': '0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9'}]"
BNB,BNB,"[{'platform': 'ethereum', 'contract_address': '0xb8c77482e45f1f44de1745f52c74426c631bdd52'}]"
USD Coin,USDC,"[{'platform': 'polygon-pos', 'contract_address': '0x2791bca1f2de4661ed88a30c99a7a9449aa84174'}, {'platform': 'binance-smart-chain', 'contract_address': '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d'}, {'platform': 'ethereum', 'contract_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}, {'platform': 'arbitrum-one', 'contract_address': '0xff970a61a04b1ca14834a43f5de4533ebddb5cc8'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x7f5c764cbc14f9669b88837ca1490cca17c31607'}]"
Lido Staked Ether,STETH,"[{'platform': 'ethereum', 'contract_address': '0xae7ab96520de3a18e5e111b5eaab095312d7fe84'}]"
Polygon,MATIC,"[{'platform': 'binance-smart-chain', 'contract_address': '0xcc42724c6683b7e57334c4e856f4c9965ed682bd'}, {'platform': 'ethereum', 'contract_address': '0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0'}, {'platform': 'polygon-pos', 'contract_address': '0x0000000000000000000000000000000000001010'}]"
Binance USD,BUSD,"[{'platform': 'polygon-pos', 'contract_address': '0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7'}, {'platform': 'binance-smart-chain', 'contract_address': '0xe9e7cea3dedca5984780bafc599bd69add087d56'}, {'platform': 'ethereum', 'contract_address': '0x4fabb145d64652a948d72533023f6e7a623c7c53'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x9c9e5fd8bbc25984b178fdce6117defa39d2db39'}]"
Shiba Inu,SHIB,"[{'platform': 'ethereum', 'contract_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}]"
Dai,DAI,"[{'platform': 'optimistic-ethereum', 'contract_address': '0xda10009cbd5d07dd0cecc66161fc93d7c9000da1'}, {'platform': 'polygon-pos', 'contract_address': '0x8f3cf7ad23cd3cadbd9735aff958023239c6a063'}, {'platform': 'binance-smart-chain', 'contract_address': '0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3'}, {'platform': 'arbitrum-one', 'contract_address': '0xda10009cbd5d07dd0cecc66161fc93d7c9000da1'}, {'platform': 'ethereum', 'contract_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}]"
Uniswap,UNI,"[{'platform': 'ethereum', 'contract_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}, {'platform': 'arbitrum-one', 'contract_address': '0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x6fd9d7ad17242c41f7131d257212c54a0e816691'}, {'platform': 'polygon-pos', 'contract_address': '0xb33eaad8d922b1083446dc23f610c2567fb5180f'}, {'platform': 'binance-smart-chain', 'contract_address': '0xbf5140a22578168fd562dccf235e5d43a02ce9b1'}]"
Wrapped Bitcoin,WBTC,"[{'platform': 'polygon-pos', 'contract_address': '0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x68f180fcce6836688e9084f035309e29bf0a2095'}, {'platform': 'arbitrum-one', 'contract_address': '0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f'}, {'platform': 'ethereum', 'contract_address': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599'}]"
